SMILES,logIE,correction
Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F,1.9805279,0.087314342
Oc1c(c(c(c(c1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,2.8481345,0.238319356
Oc1ccc(cc1)c2ccccc2,0.30290288,0.134563208
Oc1ccccc1c2ccccc2,0.30290288,-31.29028773
OC(=O)c1cccc(Cl)c1,0.7718861,0.608096063
Nc1ccc(cc1)C(O)=O,-0.028195743,-0.530070958
OC(=O)c1ccc(O)cc1,0.12822652,0.013642164
Nc1cccc(c1)C(O)=O,-0.028642982,1.318255358
OC(=O)c1c(F)c(F)c(F)c(F)c1F,1.1994562,0.966321664
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,1.2537272,0.492532378
CN(C)c1cccc(c1)C(O)=O,0.66584456,0.062190761
CC(C)c1ccc(cc1)C(O)=O,0.50501096,9.10021925
CC(C)(C)c1ccccc1O,-0.08370402,-0.818034745
CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,0.34949246,0.364559163
Oc1cc(ccc1[N+]([O-])=O)[N+]([O-])=O,1.253485,0.27906629
Oc1cccc(Cl)c1,0.044320032,0.798545309
CC(C)c1ccccc1O,-0.13685203,-0.775652416
Oc1cccc(Br)c1,0.804139,0.27641114
Oc1ccccc1Br,-0.54626447,-0.317169413
Oc1c(cccc1[N+]([O-])=O)[N+]([O-])=O,1.2547028,0.183681893
Oc1ccccc1[N+]([O-])=O,0.8356739,-2.347861175
Oc1cccc(c1)[N+]([O-])=O,0.83605486,0.071865207
Oc1ccc(cc1)[N+]([O-])=O,0.8362831,0.137852487
Oc1c(F)c(F)cc(F)c1F,0.9157724,0.055904764
OC(C1=CC=CC(S(=O)(C(F)(C(F)(C(F)(F)F)F)F)=O)=C1)=O,2.2429385,0.019517508
OC(C1=CC=CC(S(=O)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=O)=C1)=O,2.327107,0.082375327
OC(C1=CC=CC(SC(F)(C(F)(C(F)(F)F)F)F)=C1)=O,1.7071137,0.072220792
OC(=O)c1cccc(c1)[S](=O)(=O)C(F)(F)F,1.7378919,0.02833841
FC(F)(F)C(c1cccc(c1)C(=O)O)(C(F)(F)F)C(F)(F)F,2.0745444,0.030586715
OC(C1=CC=CC(SC(F)(F)F)=C1)=O,1.1507001,0.101015553
Oc1c(Br)c(Br)c(Br)c(Br)c1Br,1.8518078,0.055200085
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.1603487,0.096623682
O=S(C1=C(O)C(S(=O)(OCC(F)(F)F)=O)=CC(S(=O)(OCC(F)(F)F)=O)=C1)(OCC(F)(F)F)=O,3.4004579,0.082948363
OC(=O)c1ccccc1O,0.62767875,0.609432697
Oc1ccccc1C#N,0.74895513,1.674839752
Oc1ccccc1N=Nc2cc(ccc2O)c3ccccc3,1.1091964,0.087447475
OC(=O)c1cc(I)cc(I)c1O,1.8627143,0.091358883
Oc1c(cc(c(O)c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,1.969321,0.840486928
OC(=O)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,1.6425977,0.346391537
OC(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,1.2295222,16.56460326
Oc1ccc(Cl)cc1,0.028742984,0.041900535
