SMILES,pH_aq,logIE
Cc1ccc2cccc(N)c2n1,5,2.57
CC[N+](CC)(CC)CC,5.9,4.16
CN(C)c1ccccc1,5.9,1.79
COc1ccc(cc1)N(C)C,5.9,2.43
c1ccc2ncccc2c1,5.9,1.42
Nc1cccc(N)n1,5.9,3.83
Nc1ccc(cc1)C(O)=O,5.9,2.5
Nc1cccc2ccccc12,5.9,2.46
NC(CO)(CO)CO,5.9,2.47
Nc1ccccc1O,5.9,2.57
COc1ccc(N)cc1,5.9,2.11
Cc1ccc2cccc(N)c2n1,5.9,2.72
CN(C)c1ccccc1,3,0.82
COc1ccc(cc1)N(C)C,3,3.82
c1ccc2ncccc2c1,3,2.21
Nc1cccc(N)n1,3,3.77
Nc1ccc(cc1)C(O)=O,3,2.97
Nc1cccc2ccccc12,3,2.73
NC(CO)(CO)CO,3,2.71
Nc1ccccc1O,3,2.88
COc1ccc(N)cc1,3,3.53
Cc1ccc2cccc(N)c2n1,3,3.92
CC[N+](CC)(CC)CC,3,4.16
CN(C)c1ccccc1,3,1.54
COc1ccc(cc1)N(C)C,3,3.24
c1ccc2ncccc2c1,3,2.15
Nc1cccc(N)n1,3,3.93
Nc1ccc(cc1)C(O)=O,3,2.57
Nc1cccc2ccccc12,3,2.63
NC(CO)(CO)CO,3,2.36
Nc1ccccc1O,3,2.69
COc1ccc(N)cc1,3,2.48
Cc1ccc2cccc(N)c2n1,3,3.33
CC[N+](CC)(CC)CC,4.01,4.16
CN(C)c1ccccc1,4.01,1.73
COc1ccc(cc1)N(C)C,4.01,2.62
c1ccc2ncccc2c1,4.01,1.57
Nc1cccc(N)n1,4.01,3.89
Nc1ccc(cc1)C(O)=O,4.01,2.39
Nc1cccc2ccccc12,4.01,2.25
NC(CO)(CO)CO,4.01,2.14
Nc1ccccc1O,4.01,2.55
COc1ccc(N)cc1,4.01,2.21
Cc1ccc2cccc(N)c2n1,4.01,3.01
CC[N+](CC)(CC)CC,5,4.16
CN(C)c1ccccc1,5,1.63
COc1ccc(cc1)N(C)C,5,2.52
c1ccc2ncccc2c1,5,1.32
Nc1cccc(N)n1,5,3.95
Nc1ccc(cc1)C(O)=O,5,2.55
Nc1cccc2ccccc12,5,2.19
NC(CO)(CO)CO,5,2.22
Nc1ccccc1O,5,2.54
COc1ccc(N)cc1,5,2.07
Cc1ccc2cccc(N)c2n1,5,2.72
CC[N+](CC)(CC)CC,5.92,4.16
CN(C)c1ccccc1,5.92,1.85
COc1ccc(cc1)N(C)C,5.92,2.46
c1ccc2ncccc2c1,5.92,1.53
Nc1cccc(N)n1,5.92,3.81
Nc1ccc(cc1)C(O)=O,5.92,2.68
Nc1cccc2ccccc12,5.92,2.38
NC(CO)(CO)CO,5.92,2.4
Nc1ccccc1O,5.92,2.64
COc1ccc(N)cc1,5.92,2.17
Cc1ccc2cccc(N)c2n1,5.92,2.87
CC[N+](CC)(CC)CC,10.1,4.16
CN(C)c1ccccc1,10.1,1.65
COc1ccc(cc1)N(C)C,10.1,3.11
c1ccc2ncccc2c1,10.1,1.76
Nc1cccc(N)n1,10.1,3.7
Nc1ccc(cc1)C(O)=O,10.1,2.69
Nc1cccc2ccccc12,10.1,2.92
NC(CO)(CO)CO,10.1,3.15
Nc1ccccc1O,10.1,3.08
COc1ccc(N)cc1,10.1,3.1
Cc1ccc2cccc(N)c2n1,10.1,3.93
CN(C)c1ccccc1,10.1,1.11
COc1ccc(cc1)N(C)C,10.1,3.51
c1ccc2ncccc2c1,10.1,2.28
Nc1cccc(N)n1,10.1,3.56
Nc1ccc(cc1)C(O)=O,10.1,2.8
Nc1cccc2ccccc12,10.1,2.89
NC(CO)(CO)CO,10.1,3.23
Nc1ccccc1O,10.1,2.87
COc1ccc(N)cc1,10.1,3.19
Cc1ccc2cccc(N)c2n1,10.1,3.95
CC[N+](CC)(CC)CC,8.05,4.16
CN(C)c1ccccc1,8.05,1.79
COc1ccc(cc1)N(C)C,8.05,2.54
c1ccc2ncccc2c1,8.05,1.44
Nc1cccc(N)n1,8.05,3.78
Nc1ccc(cc1)C(O)=O,8.05,2.69
Nc1cccc2ccccc12,8.05,2.49
NC(CO)(CO)CO,8.05,2.82
Nc1ccccc1O,8.05,2.62
COc1ccc(N)cc1,8.05,2.19
Cc1ccc2cccc(N)c2n1,8.05,2.81
CC[N+](CC)(CC)CC,8.99,4.16
CN(C)c1ccccc1,8.99,1.61
COc1ccc(cc1)N(C)C,8.99,2.41
c1ccc2ncccc2c1,8.99,1.33
Nc1cccc(N)n1,8.99,3.85
Nc1ccc(cc1)C(O)=O,8.99,2.7
Nc1cccc2ccccc12,8.99,2.4
NC(CO)(CO)CO,8.99,2.89
Nc1ccccc1O,8.99,2.54
COc1ccc(N)cc1,8.99,2.18
Cc1ccc2cccc(N)c2n1,8.99,2.83
CC[N+](CC)(CC)CC,2.09,4.16
CN(C)c1ccccc1,2.09,3.42
COc1ccc(cc1)N(C)C,2.09,4.14
c1ccc2ncccc2c1,2.09,3.43
Nc1cccc(N)n1,2.09,3.89
Nc1ccc(cc1)C(O)=O,2.09,3.17
Nc1cccc2ccccc12,2.09,3.7
NC(CO)(CO)CO,2.09,2.88
Nc1ccccc1O,2.09,3.47
COc1ccc(N)cc1,2.09,3.3
Cc1ccc2cccc(N)c2n1,2.09,3.89
CC[N+](CC)(CC)CC,2.4,4.16
CN(C)c1ccccc1,2.4,3.27
COc1ccc(cc1)N(C)C,2.4,3.95
c1ccc2ncccc2c1,2.4,3.16
Nc1cccc(N)n1,2.4,3.81
Nc1ccc(cc1)C(O)=O,2.4,2.55
Nc1cccc2ccccc12,2.4,3.23
NC(CO)(CO)CO,2.4,2.72
Nc1ccccc1O,2.4,3.01
COc1ccc(N)cc1,2.4,3.03
Cc1ccc2cccc(N)c2n1,2.4,3.69
CN(C)c1ccccc1,2.4,3.3
COc1ccc(cc1)N(C)C,2.4,4.35
c1ccc2ncccc2c1,2.4,3.1
Nc1cccc(N)n1,2.4,3.62
Nc1ccc(cc1)C(O)=O,2.4,2.64
Nc1cccc2ccccc12,2.4,3.28
NC(CO)(CO)CO,2.4,2.89
Nc1ccccc1O,2.4,3.11
COc1ccc(N)cc1,2.4,3.61
Cc1ccc2cccc(N)c2n1,2.4,4.11
CC[N+](CC)(CC)CC,1.42,4.16
CN(C)c1ccccc1,1.42,3.46
COc1ccc(cc1)N(C)C,1.42,4.17
c1ccc2ncccc2c1,1.42,3.49
Nc1cccc(N)n1,1.42,3.53
Nc1ccc(cc1)C(O)=O,1.42,3.08
Nc1cccc2ccccc12,1.42,3.55
NC(CO)(CO)CO,1.42,2.88
Nc1ccccc1O,1.42,3.34
COc1ccc(N)cc1,1.42,3.17
Cc1ccc2cccc(N)c2n1,1.42,3.73
CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,2.91,4.44
CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,2.91,4.89
CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,2.91,4.44
C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,2.91,4.11
CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,2.91,4.05
C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,2.91,4.21
CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,2.91,4.31
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,2.91,4.04
CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,2.91,4.16
C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,2.91,3.96
CC[N+](CC)(CC)CC,2.91,4.44
CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,2.91,3.82
COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,2.91,3.6
CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,2.91,3.41
CCCC1CC(N(C)C1)C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O,2.91,3.61
CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,2.91,2.19
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,2.91,2.14
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,2.91,3.05
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,2.91,2.04
CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,2.91,4.61
CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,2.91,5.05
CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,2.91,4.43
C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,2.91,4.35
CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,2.91,4.04
C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,2.91,4.19
CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,2.91,4.23
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,2.91,4.35
CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,2.91,4.42
C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,2.91,4.15
CC[N+](CC)(CC)CC,2.91,4.63
CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,2.91,3.89
COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,2.91,3.62
CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,2.91,3.09
CCCC1CC(N(C)C1)C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O,2.91,3.5
CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,2.91,1.76
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,2.91,2.65
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,2.91,2.65
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,2.91,1.87
CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,2.91,4.5
CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,2.91,5.2
CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,2.91,4.73
C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,2.91,4.66
CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,2.91,4.41
C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,2.91,4.18
CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,2.91,4.78
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,2.91,4.65
CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,2.91,4.12
C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,2.91,4.78
CC[N+](CC)(CC)CC,2.91,4.89
CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,2.91,3.42
COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,2.91,3.83
CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,2.91,3.53
CCCC1CC(N(C)C1)C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O,2.91,3.6
CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,2.91,2.49
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,2.91,2.5
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,2.91,2.73
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,2.91,2.29
CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,2.91,4.11
