SMILES,pH_aq,logIE
CC(C)(C)c1ccc(cc1)C(O)=O,10.5,0.83
Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F,10.5,2.84
Oc1c(c(c(c(c1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,10.5,3.01
Oc1ccc(cc1)c2ccccc2,10.5,0.51
Oc1ccccc1c2ccccc2,10.5,-0.07
OC(=O)c1cccc(Cl)c1,10.5,0.95
Nc1ccc(cc1)C(O)=O,10.5,-0.83
Nc1cccc(c1)C(O)=O,10.5,0.03
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,10.5,1.71
CN(C)c1cccc(c1)C(O)=O,10.5,0.38
CC(C)c1ccc(cc1)C(O)=O,10.5,0.39
CC(C)(C)c1ccccc1O,10.5,-0.19
CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,10.5,-0.45
Oc1cc(ccc1[N+]([O-])=O)[N+]([O-])=O,10.5,1.34
Oc1cccc(Cl)c1,10.5,0.29
CC(C)c1ccccc1O,10.5,-1.42
Oc1cccc(Br)c1,10.5,0.65
Oc1ccccc1Br,10.5,-0.4
Oc1c(cccc1[N+]([O-])=O)[N+]([O-])=O,10.5,1.38
Oc1ccccc1[N+]([O-])=O,10.5,-0.78
Oc1cccc(c1)[N+]([O-])=O,10.5,0.84
Oc1ccc(cc1)[N+]([O-])=O,10.5,0.89
Oc1c(F)c(F)cc(F)c1F,10.5,0.87
OC(C1=CC=CC(S(=O)(C(F)(C(F)(C(F)(F)F)F)F)=O)=C1)=O,10.5,2.26
OC(C1=CC=CC(S(=O)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=O)=C1)=O,10.5,2.18
OC(C1=CC=CC(SC(F)(C(F)(C(F)(F)F)F)F)=C1)=O,10.5,1.71
OC(=O)c1cccc(c1)[S](=O)(=O)C(F)(F)F,10.5,1.63
FC(F)(F)C(c1cccc(c1)C(=O)O)(C(F)(F)F)C(F)(F)F,10.5,1.9
OC(C1=CC=CC(SC(F)(F)F)=C1)=O,10.5,1.37
Oc1c(Br)c(Br)c(Br)c(Br)c1Br,10.5,1.25
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,10.5,1.77
O=S(C1=C(O)C(S(=O)(OCC(F)(F)F)=O)=CC(S(=O)(OCC(F)(F)F)=O)=C1)(OCC(F)(F)F)=O,10.5,3.44
OC(=O)c1ccccc1O,10.5,0.56
Oc1ccccc1C#N,10.5,0.43
Oc1ccccc1N=Nc2cc(ccc2O)c3ccccc3,10.5,0.64
OC(=O)c1cc(I)cc(I)c1O,10.5,2.01
Oc1c(cc(c(O)c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,10.5,1.79
OC(=O)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,10.5,1.75
OC(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,10.5,0.57
Oc1ccc(Cl)cc1,10.5,-0.08
O=S(C1=C(O)C(S(=O)(OCC(F)(C(F)F)F)=O)=CC(S(=O)(OCC(F)(C(F)F)F)=O)=C1)(OCC(F)(C(F)F)F)=O,10.5,3.08
FC1=C(O)C(F)=C(F)C2=C(F)C(F)=C(F)C(F)=C21,10.5,1.73
O[S](=O)(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,10.5,1.83
O=S(C1=CC=CC2=CC=CC=C21)(O)=O,10.5,1.66
O[S](=O)(=O)c1ccc2C(=O)c3ccccc3C(=O)c2c1,10.5,2.04
N[S](=O)(=O)c1cccc(c1)[N+]([O-])=O,10.5,1.23
O=S(O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)=O,10.5,2.91
OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,10.5,1.64
FC1=C(S(NS(C2=C(F)C(F)=C(F)C(F)=C2F)(=O)=O)(=O)=O)C(F)=C(F)C(F)=C1F,10.5,2.5
O=S(NS(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)(C2=CC=C(C)C=C2)=O,10.5,2.63
O=C1NC(=O)c2ccccc12,10.5,-1.58
ON1C(=O)c2ccccc2C1=O,10.5,0.43
OC(=O)c1ccccc1,2.78,-1.52
OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,2.78,0.54
OC(=O)c1cccc(c1)C(F)(F)F,2.78,0.66
Oc1c(F)c(F)c(F)c(F)c1F,2.78,0.19
CC(C)(C)c1ccc(cc1)C(O)=O,2.78,-0.22
